movie_id,person_id,role
0111161,0001104,Director
0111161,0000175,WritersS
0111161,0001104,WritersS
0068646,0000338,Director
0068646,0701374,WritersM
0068646,0000338,WritersM
0468569,0634240,Director
0468569,0634300,WritersJ
0468569,0634240,WritersJ
0468569,0275286,WritersJ
0071562,0000338,Director
0071562,0000338,WritersF
0071562,0701374,WritersF
0050083,0001486,Director
0050083,0741627,WriterRe
0108052,0000229,Director
0108052,0447745,WritersT
0108052,0001873,WritersT
0167260,0001392,Director
0167260,0866058,WritersJ
0167260,0909638,WritersJ
0167260,0101991,WritersJ
0110912,0000233,Director
0110912,0000233,WritersQ
0110912,0000812,WritersQ
0120737,0001392,Director
0120737,0866058,WritersJ
0120737,0909638,WritersJ
0120737,0101991,WritersJ
0060196,0001466,Director
0060196,0898812,WritersL
0060196,0001466,WritersL
0060196,0408488,WritersL
0109830,0000709,Director
0109830,0343165,WritersW
0109830,0744839,WritersW
0137523,0000399,Director
0137523,0657333,WritersC
0137523,0880243,WritersC
0167261,0001392,Director
0167261,0866058,WritersJ
0167261,0909638,WritersJ
0167261,0101991,WritersJ
1375666,0634240,Director
1375666,0634240,WriterCh
0080684,0449984,Director
0080684,0102824,WritersL
0080684,0001410,WritersL
0080684,0000184,WritersL
0133093,0905154,Director
0133093,0905152,Director
0133093,0905152,WritersL
0133093,0905154,WritersL
0099685,0000217,Director
0099685,0683380,WritersN
0099685,0000217,WritersN
0073486,0001232,Director
0073486,0369142,WritersL
0073486,0325743,WritersL
0073486,0450181,WritersL
0114369,0000399,Director
0114369,0001825,WriterAn
0038650,0001008,Director
0038650,0329304,WritersF
0038650,0352443,WritersF
0038650,0001008,WritersF
0047478,0000041,Director
0047478,0000041,WritersA
0047478,0368074,WritersA
0047478,0644823,WritersA
0102926,0001129,Director
0102926,0365383,WritersT
0102926,0848217,WritersT
0120815,0000229,Director
0120815,0734441,WriterRo
0317248,0576987,Director
0317248,0526199,Director
0317248,0513130,WritersP
0317248,1130251,WritersP
0816692,0634240,Director
0816692,0634300,WritersJ
0816692,0634240,WritersJ
0118799,0000905,Director
0118799,0148437,WritersV
0118799,0000905,WritersV
0120689,0001104,Director
0120689,0000175,WritersS
0120689,0001104,WritersS
0076759,0000184,Director
0076759,0000184,WriterGe
0103064,0000116,Director
0103064,0000116,WritersJ
0103064,0936537,WritersJ
0088763,0000709,Director
0088763,0000709,WritersR
0088763,0301826,WritersR
0245429,0594503,Director
0245429,0594503,WriterHa
0253474,0000591,Director
0253474,0367838,WritersR
0253474,0844262,WritersR
0054215,0000033,Director
0054215,0825010,WritersJ
0054215,0088645,WritersJ
6751668,0094435,Director
6751668,0094435,WritersB
6751668,8243301,WritersB
0110413,0000108,Director
0110413,0000108,WriterLu
0110357,0021249,Director
0110357,0591450,Director
0110357,0575293,WritersI
0110357,0731271,WritersI
0110357,0941314,WritersI
0172495,0000631,Director
0172495,0291905,WritersD
0172495,0517589,WritersD
0172495,0629933,WritersD
0120586,0443411,Director
0120586,0571346,WriterDa
0407887,0000217,Director
0407887,1184258,WritersW
0407887,0538320,WritersW
0407887,0159039,WritersW
2582802,3227090,Director
2582802,3227090,WriterDa
0482571,0634240,Director
0482571,0634300,WritersJ
0482571,0634240,WritersJ
0482571,1793993,WritersJ
0114814,0001741,Director
0114814,0003160,WriterCh
0034583,0002031,Director
0034583,0258493,WritersJ
0034583,0258525,WritersJ
0034583,0462321,WritersJ
0095327,0847223,Director
0095327,0636435,WritersA
0095327,0847223,WritersA
0056058,0462030,Director
0056058,0847668,WritersY
0056058,0368074,WritersY
1675434,0619923,Director
1675434,0865918,Director
1675434,0619923,WritersO
1675434,0865918,WritersO
1675434,4778840,WritersO
0027977,0000122,Director
0027977,0000122,WriterCh
0064116,0001466,Director
0064116,0006872,WritersS
0064116,0001466,WritersS
0064116,0000783,WritersS
0095765,0868153,Director
0095765,0868153,WritersG
0095765,0660031,WritersG
0047396,0000033,Director
0047396,0371088,WritersJ
0047396,0941280,WritersJ
0078748,0000631,Director
0078748,0639321,WritersD
0078748,0795953,WritersD
0021749,0000122,Director
0021749,0000122,WritersC
0021749,0139714,WritersC
0021749,0188357,WritersC
0078788,0000338,Director
0078788,0587518,WritersJ
0078788,0000338,WritersJ
0078788,0380282,WritersJ
0209144,0634240,Director
0209144,0634240,WritersC
0209144,0634300,WritersC
1853728,0000233,Director
1853728,0000233,WriterQu
0082971,0000229,Director
0082971,0001410,WritersL
0082971,0000184,WritersL
0082971,0442241,WritersL
0910970,0004056,Director
0910970,0004056,WritersA
0910970,0230032,WritersA
0910970,0714114,WritersA
0405094,0003697,Director
0405094,0003697,WriterFl
0043014,0000697,Director
0043014,0102818,WritersC
0043014,0000697,WritersC
0043014,0551261,WritersC
0050825,0000040,Director
0050825,0000040,WritersS
0050825,0932229,WritersS
0050825,0860292,WritersS
0081505,0000040,Director
0081505,0000175,WritersS
0081505,0000040,WritersS
0081505,0424956,WritersS
0032553,0000122,Director
0032553,0000122,WriterCh
4154756,0751577,Director
4154756,0751648,Director
4154756,1321655,WritersC
4154756,1321656,WritersC
4154756,0498278,WritersC
0051201,0000697,Director
0051201,0002005,WritersA
0051201,0000697,WritersA
0051201,0475823,WritersA
0090605,0000116,Director
0090605,0000116,WritersJ
0090605,0318429,WritersJ
0090605,0001353,WritersJ
4633694,2130108,Director
4633694,0709056,Director
4633694,0745247,Director
4633694,0520488,WritersP
4633694,0745247,WritersP
0169547,0005222,Director
0169547,0050332,WriterAl
0057012,0000040,Director
0057012,0000040,WritersS
0057012,0816143,WritersS
0057012,0313570,WritersS
1345836,0634240,Director
1345836,0634300,WritersJ
1345836,0634240,WritersJ
1345836,0275286,WritersJ
0364569,0661791,Director
0364569,1628380,WritersG
0364569,2057405,WritersG
0364569,0661791,WritersG
0361748,0000233,Director
0361748,0000233,WriterQu
0086879,0001232,Director
0086879,0787323,WritersP
0086879,0537004,WritersP
2380307,0881279,Director
2380307,2937122,Director
2380307,0881279,WritersL
2380307,0441735,WritersL
2380307,0017690,WritersL
0114709,0005124,Director
0114709,0005124,WritersJ
0114709,0230032,WritersJ
0114709,0004056,WritersJ
0112573,0000154,Director
0112573,0908824,WriterRa
7286456,0680846,Director
7286456,0680846,WritersT
7286456,0798788,WritersT
7286456,0004170,WritersT
0082096,0000583,Director
0082096,0000583,WritersW
0082096,0118164,WritersW
4154796,0751577,Director
4154796,0751648,Director
4154796,1321655,WritersC
4154796,1321656,WritersC
4154796,0498278,WritersC
0119698,0594503,Director
0119698,0594503,WritersH
0119698,0301274,WritersH
0087843,0001466,Director
0087843,0340580,WritersH
0087843,0073053,WritersH
0087843,0207401,WritersH
0119217,0001814,Director
0119217,0000354,WritersM
0119217,0000255,WritersM
5311514,1396121,Director
5311514,1396121,WritersM
5311514,1038805,WritersM
0045152,0002045,Director
0045152,0000037,Director
0045152,0173679,WritersB
0045152,0337582,WritersB
1187043,0386246,Director
1187043,0430785,WritersA
1187043,0386246,WritersA
1187043,0006765,WritersA
0180093,0004716,Director
0180093,0782968,WritersH
0180093,0004716,WritersH
0057565,0000041,Director
0057565,0644823,WritersH
0057565,0452878,WritersH
0057565,0386750,WritersH
0435761,0881279,Director
0435761,0005124,WritersJ
0435761,0004056,WritersJ
0435761,0881279,WritersJ
8267604,1701024,Director
8267604,1701024,WritersN
8267604,2764802,WritersN
8267604,9878616,WritersN
0086190,0549658,Director
0086190,0001410,WritersL
0086190,0000184,WritersL
0062622,0000040,Director
0062622,0000040,WritersS
0062622,0002009,WritersS
0338013,0327273,Director
0338013,0442109,WritersC
0338013,0327273,WritersC
0338013,1410028,WritersC
0091251,0459552,Director
0091251,0010696,WritersA
0091251,0459552,WritersA
0105236,0000233,Director
0105236,0000233,WritersQ
0105236,0000812,WritersQ
2106476,0899121,Director
2106476,0899121,WritersT
2106476,2105585,WritersT
0033467,0000080,Director
0033467,0542534,WritersH
0033467,0000080,WritersH
0033467,0002144,WritersH
0056172,0000180,Director
0056172,0004122,WritersR
0056172,0933858,WritersR
0022100,0000485,Director
0022100,0902376,WritersT
0022100,0000485,WritersT
0022100,0414825,WritersT
0044741,0000041,Director
0044741,0000041,WritersA
0044741,0368074,WritersA
0044741,0644823,WritersA
0053125,0000033,Director
0053125,0499626,WriterEr
0052357,0000033,Director
0052357,0178785,WritersA
0052357,0853138,WritersA
0052357,0092267,WritersA
0053604,0000697,Director
0053604,0000697,WritersB
0053604,0224634,WritersB
0211915,0000466,Director
0211915,0491011,WritersG
0211915,0000466,WritersG
0036775,0000697,Director
0036775,0000697,WritersB
0036775,0151452,WritersB
0036775,0128906,WritersB
0066921,0000040,Director
0066921,0000040,WritersS
0066921,0121256,WritersS
0093058,0000040,Director
0093058,0000040,WritersS
0093058,0380282,WritersS
0093058,0368007,WritersS
0086250,0000361,Director
0086250,0000231,WritersO
0086250,0001328,WritersO
0086250,0372942,WritersO
8503618,2371802,Director
8503618,0592135,WritersL
8503618,2375857,WritersL
1255953,0898288,Director
1255953,0898288,WritersD
1255953,1416431,WritersD
1255953,4034068,WritersD
0113277,0000520,Director
0113277,0000520,WriterMi
0056592,0612322,Director
0056592,0497369,WritersH
0056592,0285210,WritersH
1049413,0230032,Director
1049413,0677037,Director
1049413,0230032,WritersP
1049413,0677037,WritersP
1049413,0565336,WritersP
0070735,0001351,Director
0070735,0911486,WriterDa
1832382,1410815,Director
1832382,1410815,WriterAs
0017136,0000485,Director
0017136,0902376,WritersT
0017136,0000485,WritersT
0119488,0000436,Director
0119488,0255278,WritersJ
0119488,0001338,WritersJ
0119488,0000436,WritersJ
0075314,0000217,Director
0075314,0001707,WriterPa
0095016,0001532,Director
0095016,0861636,WritersR
0095016,0835732,WritersR
0095016,0211823,WritersR
0097576,0000229,Director
0097576,0090151,WritersJ
0097576,0000184,WritersJ
0097576,0583675,WritersJ
0208092,0005363,Director
0208092,0005363,WriterGu
0040522,0001120,Director
0040522,0953790,WritersC
0040522,0059030,WritersC
0040522,0080755,WritersC
0986264,0451148,Director
0986264,1244760,Director
0986264,1244760,WriterAm
8579674,0005222,Director
8579674,0005222,WritersS
8579674,4880670,WritersS
1745960,2676052,Director
1745960,0143596,WritersJ
1745960,0258390,WritersJ
1745960,0185976,WritersJ
0363163,0386570,Director
0363163,0251536,WritersB
0363163,0275264,WritersB
0363163,0432622,WritersB
5074352,4318159,Director
5074352,6328029,WritersP
5074352,6328031,WritersP
5074352,6328030,WritersP
0059578,0001466,Director
0059578,0001466,WritersS
0059578,0607694,WritersS
0059578,0898812,WritersS
0372784,0634240,Director
0372784,0004170,WritersB
0372784,0275286,WritersB
0372784,0634240,WritersB
0012349,0000122,Director
0012349,0000122,WriterCh
0053291,0000697,Director
0053291,0000697,WritersB
0053291,0224634,WritersB
0053291,0858329,WritersB
10272386,1725469,Director
10272386,0358960,WritersC
10272386,1725469,WritersC
0042192,0000581,Director
0042192,0000581,WritersJ
0042192,0650581,WritersJ
0993846,0000217,Director
0993846,1010540,WritersT
0993846,0067789,WritersT
6966692,0268380,Director
6966692,0885014,WritersN
6966692,0192942,WritersN
6966692,0268380,WritersN
0055031,0006452,Director
0055031,0542631,WritersA
0055031,0001050,WritersA
0089881,0000041,Director
0089881,0000041,WritersA
0089881,0644823,WritersA
0089881,0406836,WritersA
0112641,0000217,Director
0112641,0683380,WritersN
0112641,0000217,WritersN
0120382,0001837,Director
0120382,0629272,WriterAn
0469494,0000759,Director
0469494,0000759,WritersP
0469494,0801737,WritersP
0457430,0868219,Director
0457430,0868219,WriterGu
0105695,0000142,Director
0105695,0672459,WriterDa
0167404,0796117,Director
0167404,0796117,WriterM.
1130884,0000217,Director
1130884,0436164,WritersL
1130884,1212331,WritersL
0268978,0000165,Director
0268978,0326040,WritersA
0268978,0621586,WritersA
0107290,0000229,Director
0107290,0000341,WritersM
0107290,0462895,WritersM
0055630,0000041,Director
0055630,0000041,WritersA
0055630,0452878,WritersA
0040897,0001379,Director
0040897,0001379,WritersJ
0040897,0871252,WritersJ
0071853,0000416,Director
0071853,0001402,Director
0071853,0001037,WritersG
0071853,0000092,WritersG
0071853,0001385,WritersG
0477348,0001053,Director
0477348,0001054,Director
0477348,0001054,WritersJ
0477348,0001053,WritersJ
0477348,0565092,WritersJ
0266697,0000233,Director
0266697,0000233,WritersQ
0266697,0000235,WritersQ
0057115,0836328,Director
0057115,0108595,WritersP
0057115,0165412,WritersP
0057115,0122446,WritersP
0042876,0000041,Director
0042876,0015611,WritersR
0042876,0000041,WritersR
0042876,0368074,WritersR
0084787,0000118,Director
0084787,0484111,WritersB
0084787,0132168,WritersB
0266543,0004056,Director
0266543,0881279,Director
0266543,0004056,WritersA
0266543,0677037,WritersA
0266543,0721675,WritersA
10872600,1218281,Director
10872600,0571344,WritersC
10872600,1273099,WritersC
10872600,0498278,WritersC
0080678,0000186,Director
0080678,0212246,WritersC
0080678,0075015,WritersC
0080678,0000186,WritersC
0071315,0000591,Director
0071315,0001801,WritersR
0071315,0000591,WritersR
0081398,0000217,Director
0081398,0483766,WritersJ
0081398,0141734,WritersJ
0081398,0678014,WritersJ
0434409,0574625,Director
0434409,0905152,WritersL
0434409,0905154,WritersL
0434409,2331222,WritersL
0031381,0281808,Director
0031381,0002030,Director
0031381,0939992,Director
0031381,0593565,WritersM
0031381,0397608,WritersM
0031381,0308177,WritersM
0120735,0005363,Director
0120735,0005363,WriterGu
0046912,0000033,Director
0046912,0461425,WriterFr
2096673,0230032,Director
2096673,0215455,Director
2096673,0230032,WritersP
2096673,0215455,WritersP
2096673,0498834,WritersP
0347149,0594503,Director
0347149,0594503,WritersH
0347149,1168510,WritersH
1305806,0002728,Director
1305806,3160078,WritersE
1305806,0002728,WritersE
5027774,1732981,Director
5027774,1732981,WriterMa
0117951,0000965,Director
0117951,0920543,WritersI
0117951,0388076,WritersI
0050212,0000180,Director
0050212,0099541,WritersP
0050212,0286025,WritersP
0050212,0933858,WritersP
1392214,0898288,Director
1392214,3360706,WriterAa
1291584,0640334,Director
1291584,0640334,WritersG
1291584,3294574,WritersG
1291584,0233561,WritersG
0116282,0001054,Director
0116282,0001053,Director
0116282,0001053,WritersE
0116282,0001054,WritersE
1205489,0000142,Director
1205489,1010405,WritersN
1205489,3164738,WritersN
0264464,0000229,Director
0264464,0622288,WritersJ
0264464,0007646,WritersJ
0264464,1127221,WritersJ
0096283,0594503,Director
0096283,0594503,WriterHa
0405159,0000142,Director
0405159,0353673,WritersP
0405159,0101801,WritersP
0118849,0006498,Director
0118849,0006498,WriterMa
0083658,0000631,Director
0083658,0266684,WritersH
0083658,0672459,WritersH
0083658,0001140,WritersH
10366206,0821432,Director
10366206,8748334,WritersS
10366206,3360218,WritersS
10366206,4401003,WritersS
0015864,0000122,Director
0015864,0000122,WriterCh
4729430,0655053,Director
4729430,3582089,Director
4729430,0655053,WritersS
4729430,2700235,WritersS
4729430,2082813,WritersS
1201607,0946734,Director
1201607,0460141,WritersS
1201607,0746830,WritersS
0112471,0000500,Director
0112471,0000500,WritersR
0112471,0471811,WritersR
2024544,2588606,Director
2024544,0725983,WritersJ
2024544,1185849,WritersJ
0052618,0943758,Director
0052618,0908753,WritersL
0052618,0876562,WritersL
0052618,0000683,WritersL
2278388,0027572,Director
2278388,0959003,WritersS
2278388,0027572,WritersS
2278388,2450453,WritersS
0047296,0001415,Director
0047296,0775977,WritersB
0047296,0425711,WritersB
0047296,0802563,WritersB
2267998,0000399,Director
2267998,5058839,WriterGi
0050986,0000005,Director
0050986,0000005,WriterIn
0017925,0115669,Director
0017925,0000036,Director
0017925,0000036,WritersB
0017925,0115669,WritersB
0017925,0090213,WritersB
0072684,0000040,Director
0072684,0000040,WritersS
0072684,0856842,WritersS
0107207,0006487,Director
0107207,0174840,WritersG
0107207,0313623,WritersG
0107207,0006487,WritersG
0077416,0001047,Director
0077416,0001047,WritersM
0077416,0913346,WritersM
0077416,0307311,WritersM
0041959,0715346,Director
0041959,0001294,WritersG
0041959,0000080,WritersG
0041959,0466099,WritersG
2119532,0000154,Director
2119532,0770938,WritersR
2119532,0460795,WritersR
0046268,0167241,Director
0046268,1064118,WritersG
0046268,0167241,WritersG
0046268,0350823,WritersG
0353969,0094435,Director
0353969,0094435,WritersB
0353969,1323286,WritersB
0353969,1646563,WritersB
3011894,1167933,Director
3011894,1238855,WritersG
3011894,1167933,WritersG
0015324,0000036,Director
0015324,0369841,WritersJ
0015324,0593477,WritersJ
0015324,0115669,WritersJ
0031679,0001008,Director
0031679,0118227,WritersS
0031679,0287931,WritersS
0031679,0175333,WritersS
1392190,0004306,Director
1392190,0004306,WritersG
1392190,0565068,WritersG
1392190,0490147,WritersG
0978762,0254178,Director
0978762,0254178,WriterAd
0050976,0000005,Director
0050976,0000005,WriterIn
0892769,0213450,Director
0892769,0761498,Director
0892769,0204030,WritersW
0892769,0213450,WritersW
0892769,0761498,WritersW
0198781,0230032,Director
0198781,0798899,Director
0198781,0881279,Director
0198781,0230032,WritersP
0198781,0191717,WritersP
0198781,0682066,WritersP
0097165,0001837,Director
0097165,0776114,WriterTo
0073195,0000229,Director
0073195,0001940,WritersP
0073195,0331956,WritersP
3170832,1049433,Director
3170832,1480980,WriterEm
0118715,0001054,Director
0118715,0001053,Director
0118715,0001053,WritersE
0118715,0001054,WritersE
0046438,0654868,Director
0046438,0633792,WritersK
0046438,0654868,WritersK
0019254,0003433,Director
0019254,0217865,WritersJ
0019254,0003433,WritersJ
1950186,0003506,Director
1950186,0125336,WritersJ
1950186,3890871,WritersJ
1950186,0445669,WritersJ
0395169,0313623,Director
0395169,0669311,WritersK
0395169,0313623,WritersK
0075148,0000814,Director
0075148,0000230,WriterSy
0382932,0083348,Director
0382932,0684342,Director
0382932,0083348,WritersB
0382932,0684342,WritersB
0382932,0135296,WritersB
0091763,0000231,Director
0091763,0000231,WriterOl
1895587,0565336,Director
1895587,1802857,WritersJ
1895587,0565336,WritersJ
3315342,0003506,Director
3315342,0003506,WritersJ
3315342,0291082,WritersJ
3315342,0338169,WritersJ
0088247,0000116,Director
0088247,0000116,WritersJ
0088247,0005036,WritersJ
0088247,0936537,WritersJ
0092005,0001661,Director
0092005,0000175,WritersS
0092005,0317279,WritersS
0092005,0262595,WritersS
1979320,0000165,Director
1979320,0604948,WriterPe
0074958,0001486,Director
0074958,0154665,WriterPa
0381681,0000500,Director
0381681,0000500,WritersR
0381681,0000365,WritersR
0381681,0000160,WritersR
0758758,0000576,Director
0758758,0000576,WritersS
0758758,1040556,WritersS
0032138,0281808,Director
0032138,0002030,Director
0032138,0503777,Director
0032138,0486538,WritersN
0032138,0753249,WritersN
0032138,0941138,WritersN
0036868,0943758,Director
0036868,0792845,WritersR
0036868,0437969,WritersR
0070047,0001243,Director
0070047,0087861,WriterWi
0107048,0000601,Director
0107048,0748035,WritersD
0107048,0000601,WritersD
0317705,0083348,Director
0317705,0083348,WriterBr
0035446,0523932,Director
0035446,0501872,WritersM
0035446,0562372,WritersM
0035446,0523932,WritersM
0113247,0440913,Director
0113247,0440913,WriterMa
0325980,0893659,Director
0325980,0254645,WritersT
0325980,0744429,WritersT
0325980,0064181,WritersT
0048473,0006249,Director
0048473,0051808,WritersB
0048473,0006249,WritersB
0058946,0690597,Director
0058946,0758357,WritersF
0058946,0690597,WritersF
1028532,0002120,Director
1028532,2124742,WritersS
1028532,0793881,WritersS
0032551,0000406,Director
0032551,0425913,WritersN
0032551,0825705,WritersN
15097216,4377096,Director
15097216,4377096,WritersT
15097216,13222819,WritersT
0476735,1463981,Director
0476735,1463981,WriterÇa
0245712,0327944,Director
0245712,0037247,WriterGu
0032976,0000033,Director
0032976,0238898,WritersD
0032976,0792845,WritersD
0032976,0365661,WritersD
4016934,0661791,Director
4016934,1258797,WritersS
4016934,1941029,WritersS
4016934,0661791,WritersS
0061512,0742341,Director
0061512,0668914,WritersD
0061512,0682757,WritersD
0061512,0237543,WritersD
0059742,0936404,Director
0059742,0403346,WritersG
0059742,0512231,WritersG
0059742,0189496,WritersG
0025316,0001008,Director
0025316,0728307,WritersR
0025316,0011343,WritersR
0053198,0000076,Director
0053198,0000076,WritersF
0053198,0610115,WritersF
0060827,0000005,Director
0060827,0000005,WriterIn
0079470,0001402,Director
0079470,0001037,WritersG
0079470,0000092,WritersG
0079470,0000416,WritersG
0129167,0083348,Director
0129167,0564827,WritersT
0129167,0083348,WritersT
0129167,0400954,WritersT
1454029,0853238,Director
1454029,0853238,WritersT
1454029,3543826,WritersT
0103639,0166256,Director
0103639,0615780,Director
0103639,0166256,WritersR
0103639,0615780,WritersR
0103639,0254645,WritersR
0071411,0000041,Director
0071411,0000041,WritersA
0071411,0619330,WritersA
0071411,0037539,WritersA
0099348,0000126,Director
